Pair,ClosePrice,CloseTime,QuoteAssetVolume
OPUSDT,1.146,1667001599999,47550962.24451
OPUSDT,1.085,1667087999999,45549562.53801
OPUSDT,1.042,1667174399999,26575755.54099
OPUSDT,1.035,1667260799999,19508775.90623
OPUSDT,1.005,1667347199999,14017905.61115
OPUSDT,1.029,1667433599999,25871950.84157
OPUSDT,1.116,1667519999999,36882868.42495
OPUSDT,1.364,1667606399999,86628702.65595
OPUSDT,1.317,1667692799999,57113238.97655
OPUSDT,1.284,1667779199999,36015632.4845
OPUSDT,1.31,1667865599999,40700948.04891
OPUSDT,0.967,1667951999999,100894698.22673
OPUSDT,0.781,1668038399999,63444181.74882
OPUSDT,1.04,1668124799999,63789278.84084
OPUSDT,1.022,1668211199999,47629017.23433
OPUSDT,0.921,1668297599999,16737387.30512
OPUSDT,0.903,1668383999999,22769106.5252
OPUSDT,0.927,1668470399999,31622765.49185
OPUSDT,0.937,1668556799999,17158795.00747
OPUSDT,0.897,1668643199999,16348671.89277
OPUSDT,0.889,1668729599999,11216778.22178
OPUSDT,0.914,1668815999999,11561150.73063
OPUSDT,0.931,1668902399999,8361105.17142
OPUSDT,0.848,1668988799999,11423446.47044
OPUSDT,0.846,1669075199999,16486084.15116
OPUSDT,0.862,1669161599999,12443937.64729
OPUSDT,0.93,1669247999999,16850727.1968
OPUSDT,0.946,1669334399999,16427285.92934
OPUSDT,0.922,1669420799999,8906492.22107
OPUSDT,0.907,1669507199999,9817649.85806
OPUSDT,0.884,1669593599999,8203471.08036
OPUSDT,0.871,1669679999999,10181756.66886
OPUSDT,0.892,1669766399999,8135266.28331
OPUSDT,1.003,1669852799999,21104528.02864
OPUSDT,3.757,1709337599999,50976771.31876
OPUSDT,3.988,1709423999999,77872471.21445
OPUSDT,3.988,1709510399999,164963254.94502
OPUSDT,3.909,1709596799999,94397736.86181
OPUSDT,4.514,1709683199999,419727888.04153
OPUSDT,4.545,1709769599999,243571787.29716
OPUSDT,4.661,1709855999999,134073893.6103
OPUSDT,4.484,1709942399999,111952896.54461
OPUSDT,4.697,1710028799999,76654819.81752
OPUSDT,4.537,1710115199999,87885109.77301
OPUSDT,2.976,1706831999999,38092003.03362
OPUSDT,3.015,1706918399999,26431627.6049
OPUSDT,2.961,1707004799999,15610078.05114
OPUSDT,2.994,1707091199999,23162015.54151
OPUSDT,3.097,1707177599999,37425483.80715
OPUSDT,3.325,1707263999999,112591473.48219
OPUSDT,3.363,1707350399999,86292128.31774
OPUSDT,3.302,1707436799999,55986104.61309
OPUSDT,3.46,1707523199999,63152970.3324
OPUSDT,3.366,1707609599999,30963069.59688
OPUSDT,3.535,1707695999999,47216849.28242
OPUSDT,3.816,1707782399999,81721848.26474
OPUSDT,3.73,1707868799999,63071070.30523
OPUSDT,3.82,1707955199999,56997708.8328
OPUSDT,3.858,1708041599999,78163885.53229
OPUSDT,3.641,1708127999999,55795659.21181
OPUSDT,3.579,1708214399999,39395580.68871
OPUSDT,3.793,1708300799999,38544636.73785
OPUSDT,3.96,1708387199999,78342588.90363
OPUSDT,4.066,1708473599999,177661348.69839
OPUSDT,3.763,1708559999999,109128343.14627
OPUSDT,3.64,1708646399999,76601243.44621
OPUSDT,3.508,1708732799999,58355969.36938
OPUSDT,3.669,1708819199999,45798686.32249
OPUSDT,3.881,1708905599999,44520448.28369
OPUSDT,3.824,1708991999999,62801174.24221
OPUSDT,3.705,1709078399999,71744660.1404
OPUSDT,3.767,1709164799999,111040359.67143
OPUSDT,3.7,1709251199999,120287305.16996
OPUSDT,1.319,1693612799999,22349358.11062
OPUSDT,1.319,1693699199999,13319546.80788
OPUSDT,1.336,1693785599999,10641727.92118
OPUSDT,1.341,1693871999999,12309361.94179
OPUSDT,1.345,1693958399999,10761483.01709
OPUSDT,1.332,1694044799999,15154180.89288
OPUSDT,1.341,1694131199999,9404895.874
OPUSDT,1.297,1694217599999,9537619.65774
OPUSDT,1.293,1694303999999,6178572.02482
OPUSDT,1.27,1694390399999,17183991.68245
